"REF_DATE","GEO","DGUID","Duration of unemployment","Age group","Sex","Statistics","Data type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1980-10","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","873.1","","","","1"
"1980-11","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","857.7","","","","1"
"1980-12","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","874.1","","","","1"
"1981-01","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","892.3","","","","1"
"1981-02","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","899.8","","","","1"
"1981-03","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","902.4","","","","1"
"1981-04","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","868.3","","","","1"
"1981-05","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","877.2","","","","1"
"1981-06","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","887.9","","","","1"
"1981-07","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","879.4","","","","1"
"1981-08","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","861.2","","","","1"
"1981-09","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","1003.9","","","","1"
"1981-10","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","1020.4","","","","1"
"1981-11","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","1019.5","","","","1"
"1981-12","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","1071.7","","","","1"
"1982-01","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","1059.7","","","","1"
"1982-02","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","1092.8","","","","1"
"1982-03","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","1139.7","","","","1"
"1982-04","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","1204.8","","","","1"
"1982-05","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","1271.4","","","","1"
"1982-06","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","1364.3","","","","1"
"1982-07","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","1465.2","","","","1"
"1982-08","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","1478.1","","","","1"
"1982-09","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","1527.0","","","","1"
"1982-10","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","1602.1","","","","1"
"1982-11","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","1600.4","","","","1"
"1982-12","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","1624.4","","","","1"
"1983-01","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","1572.9","","","","1"
"1983-02","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","1573.5","","","","1"
"1983-03","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","1554.7","","","","1"
"1983-04","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","1553.7","","","","1"
"1983-05","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","1556.5","","","","1"
"1983-06","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","1557.3","","","","1"
"1983-07","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","1492.9","","","","1"
"1983-08","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","1472.8","","","","1"
"1983-09","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","1432.0","","","","1"
"1983-10","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","1419.2","","","","1"
"1983-11","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","1415.9","","","","1"
"1983-12","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","1429.1","","","","1"
"1984-01","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","1423.3","","","","1"
"1984-02","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","1425.4","","","","1"
"1984-03","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","1424.7","","","","1"
"1984-04","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","1456.0","","","","1"
"1984-05","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","1494.0","","","","1"
"1984-06","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","1442.9","","","","1"
"1984-07","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","1427.1","","","","1"
"1984-08","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","1441.1","","","","1"
"1984-09","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","1527.9","","","","1"
"1984-10","Canada","2016A000011124","Total unemployed, all weeks","15 years and over","Both sexes","Estimate","Seasonally adjusted","Persons","249","thousands","3","v1078667526","1.1.1.1.1.1","1455.6","","","","1"
