Date,Nom_GDP_CAN,Real_GDP_CAN,CPI_CAN,UNEMP_CAN,WUICAN,CAN_unc_h1,CAN_unc_h2,CAN_unc_h4,mean_EPU_CAN,mean_UNEMP_DUR_1_4,mean_UNEMP_DUR_TOT,mean_PROB_JOB_FINDING,mean_OUTFLOW_RATE,mean_US_unc_h1,mean_US_unc_h3,mean_US_unc_h12
1966-04-01,16648,121991,13.7740321306294,3.1,0.1052964,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.588284957632238,0.711488667884537,0.836871409468164
1966-07-01,16866,121961.8,13.8793784566763,3.43333333333333,0.1881232,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.593558461977724,0.717480517512303,0.84320889268111
1966-10-01,17189,123453.8,13.9320516196998,3.4,0.3100775,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.600563035665347,0.722572037086044,0.846628046461841
1967-01-01,17396,123182.3,14.0110613642349,3.7,0.1503533,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.608918325709214,0.730097713015245,0.851536955171989
1967-04-01,17960,125774.3,14.2217540163287,3.73333333333333,0.141004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.598053036493132,0.721123398559087,0.850212420584649
1967-07-01,18121,126224.3,14.4324466684224,3.66666666666667,0.1451589,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.614848787350453,0.739404245274602,0.862500761125297
1967-10-01,18435,126735,14.4851198314459,4.16666666666667,0.4927322,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.635746931785698,0.758466822481926,0.87228185247238
1968-01-01,18852,127785.8,14.6431393205162,4.43333333333333,0.1244865,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.637984675819513,0.758182215648725,0.870174697045819
1968-04-01,19440,131258.5,14.7221490650514,4.53333333333333,0.1604621,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.602510679157301,0.727936674054365,0.858152651974285
1968-07-01,19886,133053.8,14.9855148801686,4.53333333333333,0.0910332,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.581610342176298,0.709036776230609,0.848305251645898
1968-10-01,20391,134891,15.1171977877272,4.46666666666667,0.1896813,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.588867823820603,0.716244333358034,0.854213347391012
1969-01-01,20969,136655.5,15.1962075322623,4.26666666666667,0.4663092,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.595660467232248,0.730550158230199,0.869204005710883
1969-04-01,21391,137329,15.512246510403,4.36666666666667,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.618388152506716,0.758131179754964,0.893812133318495
1969-07-01,21806,138803.5,15.696602580985,4.4,0.1005429,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.625338964742558,0.763521800653716,0.896550599836331
1969-10-01,22352,140790.3,15.7756123255201,4.6,0.1123217,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.635643388614875,0.771458981520197,0.899419242462544
1970-01-01,22865,141700,15.9599683961022,4.86666666666667,0.2527806,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.663367924441042,0.799516652139366,0.914441999918853
1970-04-01,23071,141694.3,16.0389781406373,5.76666666666667,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.663631407587922,0.799642899558417,0.911619676726759
1970-07-01,23549,143157.3,16.1706610481959,6.16666666666667,0.1027432,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.663754460804211,0.79601081696182,0.904355312705187
1970-10-01,23751,143412.5,16.0916513036608,6.1,0.1184694,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.719860971341061,0.836087239542503,0.916469088215657
1971-01-01,24097,142589.8,16.1706610481959,6.23333333333333,0.5182421,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.656094156658691,0.785877052173981,0.899832261043268
1971-04-01,25105,146725.8,16.3813537002897,6.26666666666667,0.152439,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.62013544949773,0.750081421097866,0.88319061001408
1971-07-01,25934,150805.3,16.6710560969186,6.1,0.1069976,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.635044051765756,0.75808767212472,0.883551316583566
1971-10-01,26632,152472.8,16.7764024229655,6.13333333333333,0.6402048,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.624381735449191,0.755791960938631,0.88466493273273
1972-01-01,27064,151940,16.9870950750593,5.96666666666667,0.4048583,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.617074992491843,0.747818766782726,0.87883949865225
1972-04-01,28091,156240,17.1451145641296,6.06666666666667,0.1687337,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.584033272551121,0.718649192043791,0.864831483530538
1972-07-01,28623,156675.5,17.5138267052937,6.36666666666667,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.621181654249976,0.754165032454682,0.882543772459678
